id,"name","text","backimage","created_at","updated_at","joining","graduating"
2,"１期生","僕たちは、学生団体CHADを創設しました！","S__44138509.jpg","2017-04-28 10:21:14","2017-04-28 17:01:11","2014年4月","2017年3月"
12,"２期生","初めてカンボジアの小学校で運動会しました。","170420_0268.jpg","2017-04-28 10:21:14","2017-04-29 03:38:15","2015年4月","2019年3月"
22,"３期生","私たちは「未来へつなぐプロジェクト」世代です。","_170420_0039.jpg","2017-04-28 10:21:14","2017-04-29 14:33:17","2016年4月","2020年3月"
32,"４期生","僕らはボーリング世代です。","新歓ボーリング大会__170428_0010.jpg","2017-04-28 10:21:14","2017-04-28 17:03:53","2017年4月","2021年3月"
102,"","",NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL
